GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mySweetmanagementsystem,my_sweet_management_system,EmailService,0,45,0,0,0,7,0,5,0,5
mySweetmanagementsystem,my_sweet_management_system,AccountService.UserAccount,26,0,0,0,9,0,6,0,6,0
mySweetmanagementsystem,my_sweet_management_system,MonitoringAndReportingww,462,247,36,6,108,53,31,10,12,8
mySweetmanagementsystem,my_sweet_management_system,TESTMAIN,253,0,13,0,79,0,17,0,8,0
mySweetmanagementsystem,my_sweet_management_system,UserManagementSystem,234,289,17,29,60,74,14,23,1,10
mySweetmanagementsystem,my_sweet_management_system,BeneficiaryUsers,0,358,1,1,0,92,1,37,0,37
mySweetmanagementsystem,my_sweet_management_system,UserAccount,46,0,0,0,12,0,7,0,7,0
mySweetmanagementsystem,my_sweet_management_system,TestUtility,1051,0,94,0,208,0,62,0,15,0
mySweetmanagementsystem,my_sweet_management_system,MainMenu,1339,0,123,0,574,0,115,0,24,0
mySweetmanagementsystem,my_sweet_management_system,ProductSearchtest,43,184,0,8,18,34,9,14,9,10
mySweetmanagementsystem,my_sweet_management_system,Ownermanag,10,0,0,0,8,0,8,0,8,0
mySweetmanagementsystem,my_sweet_management_system,SupplierService,237,60,16,6,45,15,13,5,4,3
mySweetmanagementsystem,my_sweet_management_system,MessageService,333,0,24,0,65,0,21,0,9,0
mySweetmanagementsystem,my_sweet_management_system,OrderService,125,0,8,0,29,0,9,0,5,0
mySweetmanagementsystem,my_sweet_management_system,AccountService,311,0,27,0,69,0,24,0,10,0
mySweetmanagementsystem,my_sweet_management_system,PersonAccount,664,458,70,36,185,94,47,24,8,10
mySweetmanagementsystem,my_sweet_management_system,ooorder,1278,39,64,3,275,11,59,4,22,4
mySweetmanagementsystem,my_sweet_management_system,UserManagementSystem.User,0,45,0,0,0,15,0,9,0,9
mySweetmanagementsystem,my_sweet_management_system,Test,204,121,35,23,44,27,27,13,4,7
mySweetmanagementsystem,my_sweet_management_system,EmailService.EmailDTO,0,21,0,0,0,8,0,4,0,4
mySweetmanagementsystem,my_sweet_management_system,Product,332,92,14,5,82,23,15,5,5,4
